sexC,ageC,raceC,MC,priors_count_C
1,1,2,0,1
1,1,2,0,1
1,2,2,1,1
1,1,2,5,0
1,1,2,4,0
1,1,2,0,0
1,1,2,0,0
1,1,2,2,0
1,2,2,0,1
1,1,2,4,0
1,1,2,0,1
1,1,2,2,0
1,1,2,5,0
1,3,2,5,0
1,1,2,0,1
1,1,2,0,1
1,1,2,0,1
1,2,2,1,1
1,1,2,1,1
1,1,2,0,0
1,1,2,0,1
1,1,2,0,0
1,2,2,1,0
1,1,2,5,1
1,2,2,5,1
1,1,2,2,1
1,1,2,0,1
1,1,2,0,1
1,2,2,2,1
1,1,2,0,1
1,1,2,0,1
1,2,2,0,1
1,2,2,0,0
1,1,2,6,0
1,2,2,0,1
1,1,2,0,1
1,1,2,0,1
1,1,2,0,0
1,2,2,2,1
1,2,2,5,0
1,1,2,0,0
1,3,2,3,1
1,1,2,0,0
1,1,2,0,1
1,1,2,0,0
1,1,2,1,1
1,2,2,1,1
1,1,2,0,0
1,1,2,0,1
1,1,2,0,1
1,2,2,0,1
1,1,2,0,0
1,1,2,0,0
1,2,2,2,0
1,1,2,0,0
1,1,2,1,0
1,1,2,0,1
1,1,2,0,1
1,1,2,0,1
1,1,2,1,1
1,1,2,0,0
1,1,2,0,1
1,1,2,0,0
1,1,2,0,1
1,1,2,1,1
1,1,2,1,0
1,1,2,0,0
1,2,2,5,0
1,1,2,1,0
1,2,2,5,0
1,1,2,0,1
1,1,2,0,1
1,1,2,0,1
1,2,2,0,1
1,2,2,1,0
1,1,2,0,1
1,1,2,0,0
1,1,2,0,1
1,2,2,1,0
