id,shape,color,cut,clarity,polish,symmetry,florescence
80908,0,3,1,5,2,1,2
34693,9,2,1,1,1,1,4
47753,0,6,2,5,2,1,4
31144,6,5,1,1,1,0,4
32811,0,2,2,2,2,2,3
24199,8,6,0,5,2,0,4
16650,0,5,2,1,2,2,4
91973,2,0,1,3,2,2,4
111427,0,5,2,0,2,2,4
75044,2,1,1,5,2,1,4
89412,0,4,1,3,1,1,4
113552,0,3,2,2,2,2,1
46260,0,1,1,1,2,1,3
35219,1,3,1,6,2,1,4
44078,0,3,1,3,1,1,4
105695,0,6,2,4,2,2,4
94553,0,4,0,3,2,0,4
6875,0,1,2,1,1,1,3
105734,0,4,1,3,2,1,4
64060,0,0,2,1,2,2,4
76763,0,6,2,3,2,2,3
5591,0,1,2,3,2,2,2
94443,1,2,1,2,1,1,4
18028,0,2,2,0,2,2,3
29126,0,4,2,4,2,2,4
71538,0,2,1,4,0,1,2
100862,0,2,1,2,2,2,4
84886,0,5,1,3,2,1,4
7823,0,2,2,6,2,1,3
76737,8,4,3,1,1,1,4
106347,0,5,2,1,2,2,4
65276,0,3,1,3,2,1,4
83712,0,6,2,3,2,2,2
114415,4,6,1,2,2,1,3
85414,8,5,1,1,1,1,4
56412,0,3,2,2,2,2,4
81176,0,6,2,3,2,1,1
20877,1,1,1,1,2,0,4
38717,0,2,2,3,2,2,4
101027,2,4,1,3,2,2,4
48895,0,6,1,1,2,2,4
54427,0,6,1,1,2,2,4
21111,0,5,2,2,2,2,4
57421,0,5,0,0,1,1,2
95212,0,6,1,2,1,0,4
45687,0,6,2,6,2,2,4
11411,0,3,2,3,2,2,4
66411,0,3,1,2,2,2,3
33069,0,4,1,4,2,1,3
116172,0,6,1,2,2,2,3
75307,0,6,2,3,2,2,3
22864,0,4,2,2,2,2,4
60334,0,3,2,3,2,2,4
103060,0,2,2,5,2,2,4
98614,0,1,2,1,2,2,4
4597,0,3,1,4,2,1,4
69817,1,3,1,2,1,1,3
9309,0,3,1,2,2,2,4
7703,0,2,2,4,2,2,4
